iter	RMSE
0	12.03759105
1	11.36458502
2	10.7683635
3	10.24454697
4	9.783391869
5	9.370739747
6	9.02117813
7	8.708805618
8	8.435459841
9	8.197170365
10	7.991224286
11	7.803584355
12	7.647063332
13	7.507846544
14	7.389647519
15	7.28554137
16	7.199871636
17	7.104949097
18	7.038747376
19	6.965730575
20	6.915983085
21	6.866587264
22	6.826331672
23	6.789531349
24	6.746128931
25	6.717807823
26	6.690795929
27	6.667605316
28	6.639147951
29	6.613338714
30	6.588926121
31	6.572089943
32	6.548820147
33	6.534135562
34	6.517978785
35	6.503941261
36	6.492075892
37	6.47717768
38	6.462683503
39	6.452702645
40	6.443477895
41	6.435239343
42	6.426591584
43	6.419458816
44	6.408452646
45	6.402270479
46	6.39385111
47	6.387380227
48	6.379662364
49	6.37252952
50	6.366028083
51	6.360423409
52	6.354384598
53	6.348087938
54	6.339610808
55	6.334889697
56	6.330427042
57	6.324746642
58	6.320069368
59	6.315851218
60	6.31136573
61	6.305555491
62	6.299752866
63	6.294869505
64	6.291145497
65	6.284981973
66	6.280841895
67	6.277709002
68	6.274878584
69	6.272107238
70	6.266338356
71	6.260761115
72	6.25734125
73	6.253434216
74	6.249059213
75	6.246699768
76	6.241877508
77	6.237452982
78	6.234154279
79	6.230830985
80	6.226455364
81	6.221185254
82	6.217457379
83	6.21433215
84	6.210467513
85	6.208071245
86	6.202716669
87	6.20054652
88	6.196544595
89	6.193244017
90	6.191066083
91	6.188373706
92	6.184450138
93	6.18085227
94	6.177198759
95	6.175161652
96	6.171163845
97	6.167951981
98	6.165732298
99	6.163165062
100	6.160539535
101	6.157862526
102	6.155533685
103	6.154053052
104	6.151856062
105	6.14882375
106	6.145404771
107	6.142076003
108	6.140229312
109	6.138144795
110	6.136290099
111	6.133726532
112	6.130592599
113	6.129337362
114	6.125002157
115	6.122626465
116	6.117661673
117	6.114466822
118	6.110671688
119	6.109279136
120	6.106578694
121	6.103190172
122	6.100165937
123	6.096982958
124	6.094503002
125	6.091735135
126	6.089980452
127	6.087045136
128	6.084355272
129	6.081816102
130	6.079589131
131	6.074526771
132	6.070071968
133	6.067565232
134	6.06424931
135	6.062053158
136	6.060751222
137	6.058697062
138	6.055601064
139	6.052993955
140	6.051292619
141	6.048493558
142	6.046770652
143	6.044271476
144	6.041969997
145	6.040644989
146	6.03819165
147	6.036584443
148	6.035514768
149	6.031458518
150	6.02917347
151	6.02522471
152	6.023518222
153	6.021244028
154	6.019951816
155	6.01728239
156	6.012085286
157	6.009668397
158	6.008191887
159	6.005789224
160	6.004667039
161	6.002737082
162	6.001836222
163	5.999552685
164	5.996296542
165	5.994227925
166	5.992384642
167	5.990323434
168	5.989134878
169	5.986075018
170	5.984641356
171	5.982340187
172	5.980739964
173	5.97927633
174	5.977596777
175	5.975316114
176	5.973682388
177	5.972451423
178	5.971048679
179	5.969418944
180	5.965001681
181	5.963952661
182	5.962727957
183	5.960132472
184	5.958992704
185	5.956201899
186	5.953916952
187	5.952043062
188	5.949032836
189	5.947621462
190	5.945405569
191	5.943475726
192	5.940860241
193	5.939626682
194	5.938372438
195	5.936781057
196	5.935932188
197	5.934487358
198	5.932540918
199	5.930953315
200	5.929751396
201	5.926136125
202	5.924095602
203	5.923300541
204	5.922237217
205	5.920456635
206	5.918693558
207	5.917202074
208	5.914734077
209	5.912592401
210	5.91148296
211	5.909913297
212	5.908285423
213	5.906935498
214	5.904039255
215	5.902793894
216	5.901980462
217	5.899910415
218	5.897199949
219	5.895759994
220	5.894348174
221	5.89275958
222	5.891455912
223	5.890036023
224	5.889246283
225	5.887765406
226	5.886153395
227	5.885386721
228	5.883724198
229	5.881732599
230	5.880879858
231	5.879760521
232	5.878368841
233	5.876545489
234	5.875218432
235	5.874496089
236	5.87197424
237	5.869802411
238	5.868347395
239	5.866143687
240	5.864913267
241	5.863414768
242	5.862144162
243	5.86082418
244	5.859286009
245	5.858372001
246	5.856575738
247	5.854940407
248	5.853573127
249	5.852646321
250	5.850534086
251	5.849283455
252	5.847931072
