iter	Passed	Remaining
0	156	156533
1	167	83428
2	177	59111
3	188	46865
4	198	39498
5	209	34663
6	219	31117
7	229	28476
8	240	26459
9	249	24749
10	259	23356
11	270	22285
12	281	21341
13	291	20533
14	301	19789
15	311	19132
16	320	18518
17	329	17999
18	338	17497
19	348	17080
20	359	16738
21	368	16401
22	378	16059
23	389	15820
24	400	15609
25	410	15365
26	420	15141
27	430	14927
28	439	14719
29	449	14529
30	459	14355
31	469	14196
32	480	14070
33	489	13912
34	498	13750
35	509	13635
36	517	13471
37	527	13344
38	535	13207
39	545	13097
40	553	12950
41	561	12805
42	569	12677
43	577	12554
44	586	12455
45	595	12342
46	604	12257
47	612	12154
48	621	12066
49	630	11971
50	638	11882
51	647	11796
52	655	11721
53	665	11655
54	675	11599
55	682	11512
56	691	11443
57	700	11380
58	709	11318
59	718	11255
60	727	11196
61	736	11136
62	744	11073
63	753	11023
64	762	10970
65	770	10903
66	779	10861
67	788	10804
68	795	10738
69	803	10678
70	812	10635
71	821	10594
72	829	10539
73	838	10496
74	847	10447
75	855	10404
76	864	10367
77	873	10326
78	882	10288
79	890	10242
80	899	10203
81	908	10166
82	916	10128
83	924	10085
84	934	10060
85	942	10019
86	951	9981
87	960	9952
88	968	9913
89	976	9878
90	984	9835
91	993	9801
92	1001	9771
93	1010	9735
94	1018	9701
95	1026	9662
96	1034	9626
97	1042	9593
98	1051	9569
99	1060	9540
100	1068	9510
101	1077	9482
102	1085	9453
103	1093	9424
104	1103	9404
105	1112	9386
106	1121	9359
107	1130	9338
108	1138	9309
109	1147	9283
110	1155	9254
111	1165	9241
112	1175	9226
113	1183	9196
114	1192	9176
115	1200	9147
116	1209	9127
117	1218	9108
118	1227	9089
119	1236	9066
120	1245	9044
121	1254	9028
122	1263	9008
123	1272	8988
124	1280	8964
125	1290	8948
126	1298	8925
127	1307	8909
128	1317	8894
129	1325	8871
130	1334	8852
131	1343	8834
132	1351	8812
133	1361	8800
134	1371	8785
135	1380	8770
136	1388	8745
137	1396	8721
138	1404	8702
139	1413	8684
140	1421	8662
141	1430	8643
142	1439	8628
143	1450	8623
144	1460	8610
145	1469	8596
146	1479	8585
147	1489	8571
148	1498	8555
149	1507	8542
150	1517	8529
151	1526	8513
152	1537	8510
153	1546	8497
154	1555	8479
155	1566	8475
156	1575	8461
157	1584	8445
158	1594	8431
159	1603	8417
160	1613	8406
161	1621	8388
162	1629	8369
163	1639	8357
164	1649	8348
165	1658	8333
166	1669	8325
167	1678	8312
168	1687	8296
169	1696	8284
170	1705	8268
171	1715	8256
172	1724	8241
173	1732	8224
174	1741	8210
175	1750	8196
176	1761	8190
177	1769	8173
178	1778	8159
179	1788	8145
180	1797	8131
181	1805	8115
182	1813	8098
